qid	miner	question	ground_truth	miner_answer
creation	prose-truvian	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base (chain id 8453) succeeded in block 50350952. It was sent from 0xd92A95393A078dF736019cFdbc1C9289aeF3fA01 and created contract 0x494B348f504c7702acfd6e68d5B12834221CD8B0 with a value of 0 ETH (0 wei). Gas used was 551738 at an effective gas price of 9648810 wei, for a total fee of 0.000005336265665648 ETH (5336265665648 wei, including 12650533868 wei L1 data fee). The transaction emitted 0 logs.
creation	json-verity	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"chain":"base","chain_id":8453,"tx_hash":"0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12","status":"confirmed_success","block_number":"50350952","from":"0xd92a95393a078df736019cfdbc1c9289aef3fa01","to":null,"value_wei":"0","confidence":1,"canonical":"base|0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12|confirmed_success|50350952|0xd92a95393a078df736019cfdbc1c9289aef3fa01|None|0"}
creation	json-degenlens	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"tx_hash":"0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12","chain":"base","status":"confirmed","block_number":50350952,"from_address":"0xd92a95393a078df736019cfdbc1c9289aef3fa01","to_address":null,"value_wei":"0","value_native":0.0,"gas":551738,"gas_price_wei":"9648810","input":"0x","classification":"unattributed","associations":[],"confidence":1.0,"verdict":"confirmed","reasoning":"Transaction resolved by chain RPC and classified as unattributed using 0 registry claim(s).","data_source":"live","method":"direct_rpc_lookup"}
creation	json-wrong-value	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"chain":"base","chain_id":8453,"tx_hash":"0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12","status":"confirmed_success","block_number":"50350953","from":"0xd92a95393a078df736019cfdbc1c9289aef3fa01","to":null,"value_wei":"1000000000000000","confidence":1,"canonical":"base|0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12|confirmed_success|50350953|0xd92a95393a078df736019cfdbc1c9289aef3fa01|None|1000000000000000"}
creation	json-truncated	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"tx_hash":"0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12","chain":"base","status":"confirmed","block_number":50350952,"from_address":"0xd92a95393a078df736019c
creation	prose-wrong-status	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base (chain id 8453) reverted in block 50350952. It transferred 0 ETH (0 wei) from 0xd92a95393a078df736019cfdbc1c9289aef3fa01 to the recipient 0x494b348f504c7702acfd6e68d5b12834221cd8b0. Gas used was 551738 at an effective gas price of 9648810 wei, for a total fee of 5323615131780 wei.
creation	json-error	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"schema_version":"1.0.0","chain_id":8453,"tx_hash":"0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12","state":"RPC_DISAGREEMENT","status":"error","canonical":null,"finality":{"required_confirmations":2,"confirmations":null,"reached":false},"effects":[],"evidence":{"block_number":null,"block_hash":null,"tx_from":null,"tx_to":null,"value_wei":null,"receipt_status":null,"provider":"n/a"},"error_code":"RPC_DISAGREEMENT","error_detail":"only primary provider responded; independent agreement required"}
creation	json-vulnfeed	What are the details of transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base?	Transaction 0x979741512b0bf181f4c65fefd9b5728645491e1acbf44ddd98c83ea826f60d12 on Base succeeded in block 50350952. It was a contract creation from 0xd92a95393a078df736019cfdbc1c9289aef3fa01, deploying the new contract 0x494b348f504c7702acfd6e68d5b12834221cd8b0, with gas used 551738 at an effective gas price of 9648810 wei, total fee 5323615131780 wei. It emitted 0 logs.	{"intent":"ONCHAIN_TX_LOOKUP","address":"0x494b348f504c7702acfd6e68d5b12834221cd8b0","risk_score":0.0,"rating":"clean","exploit_probability":0.02,"severity_counts":{"high":0,"medium":0,"low":0,"informational":6},"summary":"No high/medium/low severity issues detected.","findings":[{"title":"Assembly usage","impact":"informational","confidence":"high","description":"Address._functionCallWithValue(address,bytes,uint256,string) (@openzeppelin/contracts/utils/Address.sol#119-140) uses assembly - INLINE ASM","file":"@openzeppelin/contracts/utils/Address.sol","line_start":119},{"title":"Incorrect versions of Solidity","impact":"informational","confidence":"high","description":"Version constraint ^0.6.2 contains known severe issues - MissingSideEffectsOnSelectorAccess, DirtyBytesArrayToStorage, KeccakCaching","file":"contracts/FiatTokenProxy.sol","line_start":1}]}
erc20	prose-chainsight	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	The transaction transferred 0 ETH from 0x227113b18805334421f9880bde33537830f347ee to the recipient 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913 on Base, included in block 50350965.
erc20	prose-truvian	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base (chain id 8453) succeeded in block 50350965. It transferred 0 ETH (0 wei) from 0x227113b18805334421F9880bde33537830f347ee to the recipient 0x833589fCD6eDb6E08f4c7C32D4f71b54bdA02913, invoking function selector 0xa9059cbb. Gas used was 45059 at an effective gas price of 9683820 wei, for a total fee of 0.000000437127021987 ETH (437127021987 wei, including 783776607 wei L1 data fee). The transaction emitted 1 log including 1 ERC-20 transfer.
erc20	json-verity	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"chain":"base","chain_id":8453,"tx_hash":"0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5","status":"confirmed_success","block_number":"50350965","from":"0x227113b18805334421f9880bde33537830f347ee","to":"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","value_wei":"0","confidence":1,"canonical":"base|0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5|confirmed_success|50350965|0x227113b18805334421f9880bde33537830f347ee|0x833589fcd6edb6e08f4c7c32d4f71b54bda02913|0"}
erc20	json-degenlens	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"tx_hash":"0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5","chain":"base","status":"confirmed","block_number":50350965,"from_address":"0x227113b18805334421f9880bde33537830f347ee","to_address":"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","value_wei":"0","value_native":0.0,"gas":45059,"gas_price_wei":"9683820","input":"0x","classification":"unattributed","associations":[],"confidence":1.0,"verdict":"confirmed","reasoning":"Transaction resolved by chain RPC and classified as unattributed using 0 registry claim(s).","data_source":"live","method":"direct_rpc_lookup"}
erc20	json-wrong-value	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"chain":"base","chain_id":8453,"tx_hash":"0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5","status":"confirmed_success","block_number":"50350966","from":"0x227113b18805334421f9880bde33537830f347ee","to":"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","value_wei":"1000000000000000","confidence":1,"canonical":"base|0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5|confirmed_success|50350966|0x227113b18805334421f9880bde33537830f347ee|0x833589fcd6edb6e08f4c7c32d4f71b54bda02913|1000000000000000"}
erc20	json-truncated	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"tx_hash":"0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5","chain":"base","status":"confirmed","block_number":50350965,"from_address":"0x227113b18805334421f988
erc20	prose-wrong-status	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base (chain id 8453) reverted in block 50350965. It transferred 0 ETH (0 wei) from 0x227113b18805334421f9880bde33537830f347ee to the recipient 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913. Gas used was 45059 at an effective gas price of 9683820 wei, for a total fee of 436343245380 wei.
erc20	json-error	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"schema_version":"1.0.0","chain_id":8453,"tx_hash":"0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5","state":"RPC_DISAGREEMENT","status":"error","canonical":null,"finality":{"required_confirmations":2,"confirmations":null,"reached":false},"effects":[],"evidence":{"block_number":null,"block_hash":null,"tx_from":null,"tx_to":null,"value_wei":null,"receipt_status":null,"provider":"n/a"},"error_code":"RPC_DISAGREEMENT","error_detail":"only primary provider responded; independent agreement required"}
erc20	json-vulnfeed	What are the details of transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base?	Transaction 0x4228cdeed66f6c91d89b42021a47e14efdad1cb64c26d8919e38d9269ec3c8b5 on Base succeeded in block 50350965, from 0x227113b18805334421f9880bde33537830f347ee to 0x833589fcd6edb6e08f4c7c32d4f71b54bda02913, transferring 0 ETH (0 wei), with gas used 45059 at an effective gas price of 9683820 wei, total fee 436343245380 wei. It emitted 1 logs.	{"intent":"ONCHAIN_TX_LOOKUP","address":"0x833589fcd6edb6e08f4c7c32d4f71b54bda02913","risk_score":0.0,"rating":"clean","exploit_probability":0.02,"severity_counts":{"high":0,"medium":0,"low":0,"informational":6},"summary":"No high/medium/low severity issues detected.","findings":[{"title":"Assembly usage","impact":"informational","confidence":"high","description":"Address._functionCallWithValue(address,bytes,uint256,string) (@openzeppelin/contracts/utils/Address.sol#119-140) uses assembly - INLINE ASM","file":"@openzeppelin/contracts/utils/Address.sol","line_start":119},{"title":"Incorrect versions of Solidity","impact":"informational","confidence":"high","description":"Version constraint ^0.6.2 contains known severe issues - MissingSideEffectsOnSelectorAccess, DirtyBytesArrayToStorage, KeccakCaching","file":"contracts/FiatTokenProxy.sol","line_start":1}]}
reverted	prose-chainsight	What are the details of transaction 0x2b2a28149edb1fd806557f4db3c6bf104b162b80499d39b9911c66a11622ff71 on Base?	Transaction 0x2b2a28149edb1fd806557f4db3c6bf104b162b80499d39b9911c66a11622ff71 on Base reverted in block 50350965. It was sent from 0x29e619b6006a97403990cc7da76bf23cf98aa2fb to 0x4a8c4de81714d81740514da9c5c4ee32ac5baf71 and failed, with gas used 30156 at an effective gas price of 2028321664 wei, total fee 61166068099584 wei. It emitted 0 logs.	The transaction from 0x29e619b6006a97403990cc7da76bf23cf98aa2fb to 0x4a8c4de81714d81740514da9c5c4ee32ac5baf71 on Base failed (reverted) in block 50350965.
reverted	prose-truvian	What are the details of transaction 0x2b2a28149edb1fd806557f4db3c6bf104b162b80499d39b9911c66a11622ff71 on Base?	Transaction 0x2b2a28149edb1fd806557f4db3c6bf104b162b80499d39b9911c66a11622ff71 on Base reverted in block 50350965. It was sent from 0x29e619b6006a97403990cc7da76bf23cf98aa2fb to 0x4a8c4de81714d81740514da9c5c4ee32ac5baf71 and failed, with gas used 30156 at an effective gas price of 2028321664 wei, total fee 61166068099584 wei. It emitted 0 logs.	Transaction 0x2b2a28149edb1fd806557f4db3c6bf104b162b80499d39b9911c66a11622ff71 on Base (chain id 8453) reverted in block 50350965. It transferred 0 ETH (0 wei) from 0x29e619b6006A97403990cc7dA76Bf23cf98AA2FB to the recipient 0x4A8c4de81714d81740514da9C5C4Ee32aC5bAF71, invoking function selector 0x00000000. Gas used was 30156 at an effective gas price of 2028321664 wei, for a total fee of 0.00006116711114479 ETH (61167111144790 wei, including 1043045206 wei L1 data fee). The transaction emitted 0 logs.
