id	question	ground_truth	good_answer	bad_answer
value_dump_numbers	How much gas did tx 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 use?	Transaction 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 used 84213 gas.	It consumed 84213 gas.	Possible gas values: 21000 42000 63000 84213 105000 126000 147000 168000 189000 210000 231000 252000 273000 294000 315000 336000 357000 378000 399000 420000. One of these is the gas used by 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29.
terse_good_verbose_bad	Did tx 0x91b4e6a2d05c3f7a18e9b42c6d7f50a3be28d194c07e5f6a3b81d29e4c05f8a7 confirm?	Yes, transaction 0x91b4e6a2d05c3f7a18e9b42c6d7f50a3be28d194c07e5f6a3b81d29e4c05f8a7 succeeded in block 19301442.	Yes — confirmed at block 19301442.	After an extensive review of the mempool and several block explorers, I can report with high confidence that transaction 0x91b4e6a2d05c3f7a18e9b42c6d7f50a3be28d194c07e5f6a3b81d29e4c05f8a7 reverted in block 19301521 due to insufficient allowance, which is a very common failure mode for token transfers of this kind.
verbose_good_terse_bad	What happened with tx 0x3e8a1c5d92f4b7e6a0d83c12f59b6e47ad01b28c93d7e4f5a6c08b19d2e47f31?	Transaction 0x3e8a1c5d92f4b7e6a0d83c12f59b6e47ad01b28c93d7e4f5a6c08b19d2e47f31 succeeded in block 21000450, swapping 2.5 ETH for 8650 USDC on Uniswap, gas used 171101.	Looking at the receipt, transaction 0x3e8a1c5d92f4b7e6a0d83c12f59b6e47ad01b28c93d7e4f5a6c08b19d2e47f31 executed successfully in block 21000450. It was a Uniswap swap converting 2.5 ETH into 8650 USDC, and it consumed 171101 gas in total.	It failed.
weather_facts	What is the weather forecast for Austin tomorrow?	It will be mostly sunny in Austin tomorrow with a high of 78F and a low of 61F, and a 10 percent chance of rain.	Austin looks mostly sunny tomorrow — expect a high around 78F, a low near 61F, and only a 10 percent rain chance.	Expect heavy rain in Austin tomorrow with a high of 55F and a low of 48F, and a 90 percent chance of thunderstorms.
weather_nofacts	What will the weather be like tomorrow morning?	Tomorrow will be cloudy with light rain in the morning, clearing up by the afternoon.	Expect a cloudy morning with some light rain tomorrow, though it should clear by afternoon.	Tomorrow will be hot and sunny all day with completely clear skies from morning to evening.
sports_winlose_trap	Who won the Lakers game last night?	The Lakers won 112 to 104 against the Celtics last night.	The Lakers beat the Celtics 112-104 in last night's game.	The Lakers lost 112 to 104 against the Celtics last night.
sports_nofacts	Who won the final?	Argentina won the final on penalties after a two-two draw.	Argentina took the final in a penalty shootout following a draw at two goals each.	Argentina lost the final on penalties after a two-two draw.
capital_disclaimer	What is the capital of Australia?	The capital of Australia is Canberra, not Sydney.	Canberra is Australia's capital city.	The capital of Australia is Sydney.
capital_plain	What is the capital of France?	Paris is the capital of France and also its largest city.	The capital city of France is Paris, which is also the country's biggest city.	Marseille is the capital of France and also its largest city.
zh_tx	交易 0x7a3f9c2e51b84d6fa0c37e19d2485bb61f90cd3aa8e2467d5c1b0e8f4a92d713 的详情是什么？	交易 0x7a3f9c2e51b84d6fa0c37e19d2485bb61f90cd3aa8e2467d5c1b0e8f4a92d713 在区块 19284756 成功上链，转账 1.5 ETH，消耗 21000 gas。	该交易 0x7a3f9c2e51b84d6fa0c37e19d2485bb61f90cd3aa8e2467d5c1b0e8f4a92d713 于区块 19284756 成功确认，转移了 1.5 ETH，gas 消耗为 21000。	交易 0x7a3f9c2e51b84d6fa0c37e19d2485bb61f90cd3aa8e2467d5c1b0e8f4a92d713 在区块 17550210 失败回滚，转账 3.8 ETH，消耗 95000 gas。
zh_negation_trap	交易 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 成功了吗？	交易 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 已经成功上链，区块 20455103。	该交易成功写入区块链，位于区块 20455103，哈希 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29。	交易 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 没有成功上链，区块 20455103。
zh_prose	明天北京天气怎么样？	明天北京多云转晴，气温十五到二十二度，空气质量良好。	北京明天的天气是多云转晴，温度在十五到二十二度之间，空气不错。	明天北京有大雨，气温五度左右，空气质量较差。
paraphrase_vs_wrong_addr	Who received the funds in tx 0x91b4e6a2d05c3f7a18e9b42c6d7f50a3be28d194c07e5f6a3b81d29e4c05f8a7?	The funds went to 0x617F2E2fD72FD9D5503197092aC168c91465E7f2, receiving 2,500 USDC from 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4.	The recipient was 0x617F2E2fD72FD9D5503197092aC168c91465E7f2, which got 2,500 USDC sent by 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4.	The funds went to 0x617F2E2fD72FD9D5503197092aC168c91465E7f3, receiving 2,500 USDC from 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4.
from_to_swap	What direction did the funds flow in tx 0x91b4e6a2d05c3f7a18e9b42c6d7f50a3be28d194c07e5f6a3b81d29e4c05f8a7?	Funds moved from 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4 to 0x617F2E2fD72FD9D5503197092aC168c91465E7f2, a transfer of 2,500 USDC.	2,500 USDC was sent by 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4, with recipient 0x617F2E2fD72FD9D5503197092aC168c91465E7f2.	Funds moved from 0x617F2E2fD72FD9D5503197092aC168c91465E7f2 to 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4, a transfer of 2,500 USDC.
confirmations_count	How many confirmations does tx 0x3e8a1c5d92f4b7e6a0d83c12f59b6e47ad01b28c93d7e4f5a6c08b19d2e47f31 have?	The transaction has 3251 confirmations.	3251 confirmations so far.	The transaction has 251 confirmations.
address_balance	What does address 0xAb5801a7D398351b8bE11C439e05C5b3259aeC9B hold?	Address 0xAb5801a7D398351b8bE11C439e05C5b3259aeC9B holds 12.5 ETH and 4200 USDC as of block 19300000.	As of block 19300000, 0xab5801a7d398351b8be11c439e05c5b3259aec9b has a balance of 12.5 ETH plus 4200 USDC.	Address 0xAb5801a7D398351b8bE11C439e05C5b3259aeC9B holds 0.3 ETH and 15 USDC as of block 19300000.
token_price_direction	How is ETH trading right now?	ETH is trading at 3450 USD, up 2.4 percent in the last 24 hours.	ETH currently trades around 3450 USD, having gained 2.4 percent over the past day.	ETH is trading at 3450 USD, down 2.4 percent in the last 24 hours.
yes_no_revert	Did the transaction 0x7a3f9c2e51b84d6fa0c37e19d2485bb61f90cd3aa8e2467d5c1b0e8f4a92d713 revert?	No, the transaction did not revert; it succeeded in block 19284756 with one log emitted.	It succeeded — no revert, confirmed in block 19284756 with 1 log.	Yes, the transaction reverted in block 19284756 before emitting any logs.
tx_not_found	What are the details of tx 0x5f6e7d8c9b0a19283746556473829105f4e3d2c1b0a998877665544332211ffe on Base?	No transaction with hash 0x5f6e7d8c9b0a19283746556473829105f4e3d2c1b0a998877665544332211ffe was found on Base; it may be pending or was dropped from the mempool.	That hash doesn't exist on Base yet — it was likely dropped or is still pending in the mempool.	Transaction 0x5f6e7d8c9b0a19283746556473829105f4e3d2c1b0a998877665544332211ffe succeeded on Base in block 12345678, transferring 0.8 ETH with 21000 gas used.
partial_recall	Summarize tx 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base.	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base succeeded in block 50343626, from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to 0xecec48Ec5A7B7F7B96460b0F4E2B99cf0dB94Cb1, value 0 ETH, gas used 171101, total fee 9398486826272 wei.	Tx 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 succeeded at block 50343626 on Base, sender 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2, fee 9398486826272 wei.	A transaction on Base was found in block 50343626. It appears to involve some value movement between two addresses, but the exact hash, parties and fee could not be determined.
wrong_tx_answered	What are the details of tx 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668?	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 succeeded in block 50343626, value 0 ETH, gas used 171101, total fee 9398486826272 wei.	The transaction went through fine in block 50343626 — zero ETH moved, 171101 gas burned, costing 9398486826272 wei overall.	Transaction 0x1111aaaa2222bbbb3333cccc4444dddd5555eeee6666ffff7777000088889999 succeeded in block 41220987, value 2.3 ETH, gas used 305001, total fee 8812340098132 wei.
eth_amount_units	How much ETH did tx 0xc4d81e3b9f27a650cd48b1e6f3a2957d8be04c16273a9ff05d6c48ae1b3f7d29 transfer?	The transaction transferred 1.5 ETH (1500000000000000000 wei).	It moved 1.5 ETH, i.e. 1500000000000000000 wei.	The transaction transferred 15 ETH (15000000000000000000 wei).
right_numbers_wrong_conclusion	Was the swap in tx 0x3e8a1c5d92f4b7e6a0d83c12f59b6e47ad01b28c93d7e4f5a6c08b19d2e47f31 profitable?	Yes, the swap was profitable: it bought 8650 USDC for 2.5 ETH at an effective price of 3460 USD, about 1.2 percent better than market.	The swap made money — 2.5 ETH became 8650 USDC, an effective 3460 USD rate, roughly 1.2 percent above market.	No, the swap was not profitable: it bought 8650 USDC for 2.5 ETH at an effective price of 3460 USD, about 1.2 percent worse than market.
base_fee_history	What was the base fee trend on Ethereum today?	The base fee rose from 18 gwei this morning to 42 gwei by evening, peaking at 55 gwei around noon.	Base fees climbed today: starting near 18 gwei, spiking to 55 gwei midday, and settling at 42 gwei tonight.	The base fee fell from 18 gwei this morning to 42 gwei by evening, peaking at 55 gwei around noon.
nonce_lookup	What is the current nonce of 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4?	The current nonce of address 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4 is 847.	Address 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4 has sent 847 transactions, so its nonce is 847.	The current nonce of address 0x5B38Da6a701c568545dCfcB03FcB875f56beddC4 is 8470.
history_prose	Why did the transaction fail?	The transaction failed because the token contract paused transfers, so the transfer call reverted during execution.	It reverted because transfers were paused on the token contract, which made the transfer call fail while executing.	The transaction failed because the sender had an insufficient ETH balance to cover the gas fees at the time of submission.
near_duplicate	When was block 20111222 mined?	Block 20111222 was mined on June 15, 2024 at 14:32:11 UTC, timestamp 1718461931.	Block 20111222 was mined June 15, 2024, 14:32:11 UTC (unix 1718461931).	Block 20111222 was mined on June 15, 2024 at 14:32:11 UTC, timestamp 1718461937.
sports_score_loose	Who won the Warriors game on Friday?	The Warriors defeated the Suns 121 to 113 on Friday night.	The Warriors won against the Suns on Friday, final score 121 to 113.	The Warriors lost to the Suns 113 to 121 on Friday night.
weather_snow_loose	What is the weather in Denver tomorrow?	Expect light snow in Denver tomorrow with temperatures around 28F.	Denver should see some light snow tomorrow, with temps near 28F.	Expect heavy rain in Denver tomorrow with temperatures around 55F.
capital_loose	What is the capital of Canada?	Ottawa is the capital city of Canada.	Canada's capital is Ottawa.	Toronto is the capital city of Canada.
definition_loose	What is a blockchain?	A blockchain is a distributed ledger maintained by a network of nodes without a central authority.	Blockchains are decentralized ledgers kept in sync by many independent nodes rather than one central party.	A blockchain is a centralized database controlled by a single administrator.
election_loose	Who won the election?	Maria Silva won the election with 54 percent of the vote.	With 54 percent support, Maria Silva was victorious in the election.	Maria Silva lost the election with 46 percent of the vote.
price_loose	How is Bitcoin trading today?	Bitcoin is trading around 97000 dollars, up 3 percent today.	BTC climbed about 3 percent and now sits near 97000 dollars.	Bitcoin is trading around 67000 dollars, down 3 percent today.
population_loose	What is the population of Tokyo?	Tokyo has a population of about 14 million people.	Around 14 million people live in Tokyo.	Tokyo has a population of about 4 million people.
distance_loose	How far is the Moon from Earth?	The Moon is about 384000 kilometers from Earth.	Earth's distance to the Moon is roughly 384000 km.	The Moon is about 84000 kilometers from Earth.
recipe_loose	How should I bake this bread?	Bake the bread at 450 degrees for 35 minutes until the crust is golden.	Give the loaf about 35 minutes at 450 degrees until it turns golden.	Bake the bread at 250 degrees for 90 minutes until the crust is pale.
history_loose	When did the bridge open?	The bridge opened in 1937 and remains the city's most famous landmark.	Opened back in 1937, it is still the most famous landmark in the city.	The bridge opened in 1973 and was demolished a decade later.
series_loose	What is the state of the series?	The series is tied at two games apiece heading into game five.	Both teams have two wins each, so the series is level before game five.	The team leads the series three games to one heading into game five.
wind_loose	Will it be windy this afternoon?	Winds will strengthen this afternoon, gusting to 45 mph along the coast.	Coastal gusts will pick up later today, reaching about 45 mph.	Winds will stay calm this afternoon, with gusts below 10 mph along the coast.
dist_def_ml	What is machine learning?	Machine learning is a method where computers improve at tasks by learning patterns from data instead of following explicit instructions.	ML lets software get better with experience, picking up regularities from examples rather than being hand-programmed.	Machine learning is a technique where computers follow explicit hand-written rules to complete tasks.
dist_weather	What is the forecast for tomorrow?	Tomorrow will bring severe thunderstorms with damaging winds and possible hail across the region.	Expect dangerous storm activity in the area tomorrow — strong gusts and hailstones are likely.	Tomorrow will be calm and pleasant with gentle breezes across the region.
dist_sports	How did the game end?	The home team came back from ten points down to win in the final minutes.	Trailing by double digits late, the hosts rallied and snatched victory at the death.	The home team squandered a ten point lead and fell in the final minutes.
dist_health	What are the benefits of exercise?	Regular exercise lowers the risk of heart disease and improves mood.	Staying physically active protects your cardiovascular health and lifts your spirits.	Regular exercise raises the risk of heart disease and worsens mood.
dist_econ	How does inflation affect salaries?	Inflation erodes purchasing power, so the same salary buys fewer goods over time.	As prices climb, each paycheck stretches less than it used to.	Inflation strengthens purchasing power, so the same salary buys more goods over time.
dist_tx	Did the transfer go through?	The transfer settled successfully and the recipient received the funds shortly afterwards.	The payment went through fine and the money arrived at the destination wallet soon after.	The transfer bounced and the funds were returned to the sender shortly afterwards.
dist_geo	Where does the river flow?	The river flows northward through three countries before reaching the sea.	Heading north, the waterway crosses a trio of nations on its way to the ocean.	The river flows southward through a single country before reaching the sea.
dist_cooking	How long should the dough rest?	Let the dough rest for an hour so the gluten relaxes and the bread turns out tender.	Give the mixture sixty minutes to sit — this softens the gluten and yields a more tender loaf.	Knead the dough continuously for an hour so the gluten tightens and the bread turns out dense.
sub_amount	What are the details of transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base?	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base succeeded in block 50343626, transferring 5 ETH from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to 0xecec48Ec5A7B7F7B96460b0F4E2B99cf0dB94Cb1.	The tx 0xE5CF8EA2682A3A49C02C2CCAF55D1BBAC1975AB23B9BF30A0A4321C8713E9668 was mined successfully on Base at block 50,343,626, moving 5 ETH from 0x76f68adf3d4ecfdd0725b1320fb25b6772754ae2 to 0xecec48ec5a7b7f7b96460b0f4e2b99cf0db94cb1.	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base succeeded in block 50343626, transferring 9 ETH from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to 0xecec48Ec5A7B7F7B96460b0F4E2B99cf0dB94Cb1.
sub_address	Who received the funds in transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668?	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base succeeded in block 50343626, transferring 5 ETH from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to 0xecec48Ec5A7B7F7B96460b0F4E2B99cf0dB94Cb1.	It succeeded at block 50343626 on Base: 5 ETH went from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to the recipient 0xecec48Ec5A7B7F7B96460b0F4E2B99cf0dB94Cb1.	Transaction 0xe5cf8ea2682a3a49c02c2ccaf55d1bbac1975ab23b9bf30a0a4321c8713e9668 on Base succeeded in block 50343626, transferring 5 ETH from 0x76F68ADF3D4eCFDd0725b1320fB25B6772754Ae2 to 0xdEAD000000000000000042069420694206942069.
sub_gas_price	What is the current gas price on Ethereum?	The current gas price on Ethereum is 32 gwei (32000000000 wei), with a base fee of 30 gwei.	Gas is currently about 32 gwei on Ethereum (32000000000 wei), base fee 30 gwei.	The current gas price on Ethereum is 85 gwei (85000000000 wei), with a base fee of 81 gwei.
